,Country,Code,Year,Nukes,Country_Year,GDP,color,conversion,gdp_dollar,log_nukes
4,China,CHN,1964,1,China 1964,1268.46,goldenrod,0.1491,189.127386,0
5,China,CHN,1965,5,China 1965,1448.56,goldenrod,0.1491,215.980296,0.698970004
6,China,CHN,1966,20,China 1966,1558.77,goldenrod,0.1491,232.412607,1.301029996
7,China,CHN,1967,25,China 1967,1431.55,goldenrod,0.1491,213.444105,1.397940009
8,China,CHN,1968,35,China 1968,1337.48,goldenrod,0.1491,199.418268,1.544068044
9,China,CHN,1969,50,China 1969,1521.77,goldenrod,0.1491,226.895907,1.698970004
10,China,CHN,1970,75,China 1970,1766.02,goldenrod,0.1491,263.313582,1.875061263
11,China,CHN,1971,100,China 1971,1839.48,goldenrod,0.1491,274.266468,2
12,China,CHN,1972,130,China 1972,1863.21,goldenrod,0.1491,277.804611,2.113943352
13,China,CHN,1973,150,China 1973,1962.47,goldenrod,0.1491,292.604277,2.176091259
14,China,CHN,1974,170,China 1974,1966.74,goldenrod,0.1491,293.240934,2.230448921
15,China,CHN,1975,180,China 1975,2100.81,goldenrod,0.1491,313.230771,2.255272505
16,China,CHN,1976,180,China 1976,2036.07,goldenrod,0.1491,303.578037,2.255272505
17,China,CHN,1977,180,China 1977,2160.56,goldenrod,0.1491,322.139496,2.255272505
18,China,CHN,1978,190,China 1978,2373.3,goldenrod,0.1491,353.85903,2.278753601
19,China,CHN,1979,195,China 1979,2519.83,goldenrod,0.1491,375.706653,2.290034611
20,China,CHN,1980,205,China 1980,2682.69,goldenrod,0.1491,399.989079,2.311753861
21,China,CHN,1981,210,China 1981,2785.54,goldenrod,0.1491,415.324014,2.322219295
22,China,CHN,1982,216,China 1982,2990.05,goldenrod,0.1491,445.816455,2.334453751
23,China,CHN,1983,218,China 1983,3266.49,goldenrod,0.1491,487.033659,2.338456494
24,China,CHN,1984,220,China 1984,3711.98,goldenrod,0.1491,553.456218,2.342422681
25,China,CHN,1985,222,China 1985,4154.04,goldenrod,0.1491,619.367364,2.346352974
26,China,CHN,1986,224,China 1986,4458.59,goldenrod,0.1491,664.775769,2.350248018
27,China,CHN,1987,226,China 1987,4900.53,goldenrod,0.1491,730.669023,2.354108439
28,China,CHN,1988,228,China 1988,5364.02,goldenrod,0.1491,799.775382,2.357934847
29,China,CHN,1989,230,China 1989,5503.52,goldenrod,0.1491,820.574832,2.361727836
30,China,CHN,1990,232,China 1990,5635.26,goldenrod,0.1491,840.217266,2.365487985
31,China,CHN,1991,234,China 1991,6075.54,goldenrod,0.1491,905.863014,2.369215857
32,China,CHN,1992,234,China 1992,6854.72,goldenrod,0.1491,1022.038752,2.369215857
33,China,CHN,1993,234,China 1993,7716.09,goldenrod,0.1491,1150.469019,2.369215857
34,China,CHN,1994,234,China 1994,8625.16,goldenrod,0.1491,1286.011356,2.369215857
35,China,CHN,1995,234,China 1995,9466.14,goldenrod,0.1491,1411.401474,2.369215857
36,China,CHN,1996,234,China 1996,10297.48,goldenrod,0.1491,1535.354268,2.369215857
37,China,CHN,1997,232,China 1997,11133.48,goldenrod,0.1491,1660.001868,2.365487985
38,China,CHN,1998,232,China 1998,11891.43,goldenrod,0.1491,1773.012213,2.365487985
39,China,CHN,1999,232,China 1999,12692.82,goldenrod,0.1491,1892.499462,2.365487985
40,China,CHN,2000,232,China 2000,13662.55,goldenrod,0.1491,2037.086205,2.365487985
41,China,CHN,2001,235,China 2001,14694.87,goldenrod,0.1491,2191.005117,2.371067862
42,China,CHN,2002,235,China 2002,15929.52,goldenrod,0.1491,2375.091432,2.371067862
43,China,CHN,2003,235,China 2003,17419.31,goldenrod,0.1491,2597.219121,2.371067862
44,China,CHN,2004,235,China 2004,19067.03,goldenrod,0.1491,2842.894173,2.371067862
45,China,CHN,2005,235,China 2005,21115.31,goldenrod,0.1491,3148.292721,2.371067862
46,China,CHN,2006,235,China 2006,23668.54,goldenrod,0.1491,3528.979314,2.371067862
47,China,CHN,2007,235,China 2007,26896.07,goldenrod,0.1491,4010.204037,2.371067862
48,China,CHN,2008,235,China 2008,29341.96,goldenrod,0.1491,4374.886236,2.371067862
49,China,CHN,2009,240,China 2009,31940.79,goldenrod,0.1491,4762.371789,2.380211242
50,China,CHN,2010,240,China 2010,35167.8,goldenrod,0.1491,5243.51898,2.380211242
51,China,CHN,2011,240,China 2011,38342.49,goldenrod,0.1491,5716.865259,2.380211242
52,China,CHN,2012,240,China 2012,41155.05,goldenrod,0.1491,6136.217955,2.380211242
53,China,CHN,2013,250,China 2013,44133.8,goldenrod,0.1491,6580.34958,2.397940009
54,China,CHN,2014,250,China 2014,47171.09,goldenrod,0.1491,7033.209519,2.397940009
59,France,FRA,1964,4,France 1964,12122.99,indigo,1.1793,14296.64211,0.602059991
60,France,FRA,1965,32,France 1965,12562.45,indigo,1.1793,14814.89729,1.505149978
61,France,FRA,1966,36,France 1966,13087.64,indigo,1.1793,15434.25385,1.556302501
62,France,FRA,1967,36,France 1967,13611.21,indigo,1.1793,16051.69995,1.556302501
63,France,FRA,1968,36,France 1968,14111.45,indigo,1.1793,16641.63299,1.556302501
64,France,FRA,1969,36,France 1969,15001.45,indigo,1.1793,17691.20999,1.556302501
65,France,FRA,1970,36,France 1970,15796.55,indigo,1.1793,18628.87142,1.556302501
66,France,FRA,1971,45,France 1971,16505.02,indigo,1.1793,19464.37009,1.653212514
67,France,FRA,1972,70,France 1972,17111.81,indigo,1.1793,20179.95753,1.84509804
68,France,FRA,1973,116,France 1973,18055.69,indigo,1.1793,21293.07522,2.064457989
69,France,FRA,1974,145,France 1974,18697.13,indigo,1.1793,22049.52541,2.161368002
70,France,FRA,1975,188,France 1975,18401.21,indigo,1.1793,21700.54695,2.274157849
71,France,FRA,1976,212,France 1976,19100.68,indigo,1.1793,22525.43192,2.326335861
72,France,FRA,1977,228,France 1977,19672.53,indigo,1.1793,23199.81463,2.357934847
73,France,FRA,1978,235,France 1978,20371.37,indigo,1.1793,24023.95664,2.371067862
74,France,FRA,1979,235,France 1979,21008.02,indigo,1.1793,24774.75799,2.371067862
75,France,FRA,1980,250,France 1980,21245.14,indigo,1.1793,25054.3936,2.397940009
76,France,FRA,1981,274,France 1981,21368.14,indigo,1.1793,25199.4475,2.437750563
77,France,FRA,1982,274,France 1982,21790.03,indigo,1.1793,25696.98238,2.437750563
78,France,FRA,1983,279,France 1983,21940.38,indigo,1.1793,25874.29013,2.445604203
79,France,FRA,1984,280,France 1984,22148.4,indigo,1.1793,26119.60812,2.447158031
80,France,FRA,1985,360,France 1985,22381.87,indigo,1.1793,26394.93929,2.556302501
81,France,FRA,1986,355,France 1986,22775.78,indigo,1.1793,26859.47735,2.550228353
82,France,FRA,1987,420,France 1987,23226.16,indigo,1.1793,27390.61049,2.62324929
83,France,FRA,1988,410,France 1988,24190.84,indigo,1.1793,28528.25761,2.612783857
84,France,FRA,1989,410,France 1989,25105.25,indigo,1.1793,29606.62133,2.612783857
85,France,FRA,1990,505,France 1990,25708.21,indigo,1.1793,30317.69205,2.703291378
86,France,FRA,1991,540,France 1991,25834.11,indigo,1.1793,30466.16592,2.73239376
87,France,FRA,1992,540,France 1992,26117.1,indigo,1.1793,30799.89603,2.73239376
88,France,FRA,1993,525,France 1993,25840.7,indigo,1.1793,30473.93751,2.720159303
89,France,FRA,1994,510,France 1994,26351.84,indigo,1.1793,31076.72491,2.707570176
90,France,FRA,1995,500,France 1995,26809.97,indigo,1.1793,31616.99762,2.698970004
91,France,FRA,1996,450,France 1996,27092.69,indigo,1.1793,31950.40932,2.653212514
92,France,FRA,1997,450,France 1997,27627.75,indigo,1.1793,32581.40558,2.653212514
93,France,FRA,1998,450,France 1998,28513.92,indigo,1.1793,33626.46586,2.653212514
94,France,FRA,1999,450,France 1999,29338.17,indigo,1.1793,34598.50388,2.653212514
95,France,FRA,2000,470,France 2000,30281.19,indigo,1.1793,35710.60737,2.672097858
96,France,FRA,2001,350,France 2001,30657.94,indigo,1.1793,36154.90864,2.544068044
97,France,FRA,2002,350,France 2002,30781.4,indigo,1.1793,36300.50502,2.544068044
98,France,FRA,2003,350,France 2003,30815.59,indigo,1.1793,36340.82529,2.544068044
99,France,FRA,2004,350,France 2004,31455.14,indigo,1.1793,37095.0466,2.544068044
100,France,FRA,2005,350,France 2005,31738.16,indigo,1.1793,37428.81209,2.544068044
101,France,FRA,2006,350,France 2006,32289.62,indigo,1.1793,38079.14887,2.544068044
102,France,FRA,2007,350,France 2007,32868.57,indigo,1.1793,38761.9046,2.544068044
103,France,FRA,2008,300,France 2008,32768.72,indigo,1.1793,38644.1515,2.477121255
104,France,FRA,2009,300,France 2009,31663.85,indigo,1.1793,37341.17831,2.477121255
