"country","series","Unit","Date","Value"
"China","GDP per capita (constant LCU)","constant LCU","1960","1483.49407113907"
"China","GDP per capita (constant LCU)","constant LCU","1961","1089.95805102481"
"China","GDP per capita (constant LCU)","constant LCU","1962","1020.72931239545"
"China","GDP per capita (constant LCU)","constant LCU","1963","1098.5318979324"
"China","GDP per capita (constant LCU)","constant LCU","1964","1268.46374690309"
"China","GDP per capita (constant LCU)","constant LCU","1965","1448.55882182272"
"China","GDP per capita (constant LCU)","constant LCU","1966","1558.77102820703"
"China","GDP per capita (constant LCU)","constant LCU","1967","1431.5519683771"
"China","GDP per capita (constant LCU)","constant LCU","1968","1337.47822336255"
"China","GDP per capita (constant LCU)","constant LCU","1969","1521.77389978075"
"China","GDP per capita (constant LCU)","constant LCU","1970","1766.02468702419"
"China","GDP per capita (constant LCU)","constant LCU","1971","1839.47676559888"
"China","GDP per capita (constant LCU)","constant LCU","1972","1863.20796515184"
"China","GDP per capita (constant LCU)","constant LCU","1973","1962.46651292941"
"China","GDP per capita (constant LCU)","constant LCU","1974","1966.74480110024"
"China","GDP per capita (constant LCU)","constant LCU","1975","2100.80679043501"
"China","GDP per capita (constant LCU)","constant LCU","1976","2036.0741689184"
"China","GDP per capita (constant LCU)","constant LCU","1977","2160.55977768748"
"China","GDP per capita (constant LCU)","constant LCU","1978","2373.29894328759"
"China","GDP per capita (constant LCU)","constant LCU","1979","2519.83173802078"
"China","GDP per capita (constant LCU)","constant LCU","1980","2682.68849517796"
"China","GDP per capita (constant LCU)","constant LCU","1981","2785.53732938164"
"China","GDP per capita (constant LCU)","constant LCU","1982","2990.04956771095"
"China","GDP per capita (constant LCU)","constant LCU","1983","3266.48611934989"
"China","GDP per capita (constant LCU)","constant LCU","1984","3711.98041274868"
"China","GDP per capita (constant LCU)","constant LCU","1985","4154.04418387968"
"China","GDP per capita (constant LCU)","constant LCU","1986","4458.59095519416"
"China","GDP per capita (constant LCU)","constant LCU","1987","4900.53389807357"
"China","GDP per capita (constant LCU)","constant LCU","1988","5364.02155008373"
"China","GDP per capita (constant LCU)","constant LCU","1989","5503.52387885985"
"China","GDP per capita (constant LCU)","constant LCU","1990","5635.2569121351"
"China","GDP per capita (constant LCU)","constant LCU","1991","6075.5371560494"
"China","GDP per capita (constant LCU)","constant LCU","1992","6854.72148353871"
"China","GDP per capita (constant LCU)","constant LCU","1993","7716.0877041878"
"China","GDP per capita (constant LCU)","constant LCU","1994","8625.16387756015"
"China","GDP per capita (constant LCU)","constant LCU","1995","9466.14141994655"
"China","GDP per capita (constant LCU)","constant LCU","1996","10297.4754607202"
"China","GDP per capita (constant LCU)","constant LCU","1997","11133.4809609945"
"China","GDP per capita (constant LCU)","constant LCU","1998","11891.4267814166"
"China","GDP per capita (constant LCU)","constant LCU","1999","12692.8221423117"
"China","GDP per capita (constant LCU)","constant LCU","2000","13662.5539640939"
"China","GDP per capita (constant LCU)","constant LCU","2001","14694.8694449174"
"China","GDP per capita (constant LCU)","constant LCU","2002","15929.5198940705"
"China","GDP per capita (constant LCU)","constant LCU","2003","17419.3066197096"
"China","GDP per capita (constant LCU)","constant LCU","2004","19067.029325419"
"China","GDP per capita (constant LCU)","constant LCU","2005","21115.3149254604"
"China","GDP per capita (constant LCU)","constant LCU","2006","23668.5442344897"
"China","GDP per capita (constant LCU)","constant LCU","2007","26896.0685490585"
"China","GDP per capita (constant LCU)","constant LCU","2008","29341.9626234844"
"China","GDP per capita (constant LCU)","constant LCU","2009","31940.7890024687"
"China","GDP per capita (constant LCU)","constant LCU","2010","35167.799087209"
"China","GDP per capita (constant LCU)","constant LCU","2011","38342.4863208841"
"China","GDP per capita (constant LCU)","constant LCU","2012","41155.0533977868"
"China","GDP per capita (constant LCU)","constant LCU","2013","44133.7995808708"
"China","GDP per capita (constant LCU)","constant LCU","2014","47171.0856560176"
"China","GDP per capita (constant LCU)","constant LCU","2015","50236.8839427663"
"China","GDP per capita (constant LCU)","constant LCU","2016","53387.6052076187"
"China","GDP per capita (constant LCU)","constant LCU","2017","56777.6698877004"
