Country,Code,Year,Quantity of Nuclear Weapons,Country_Year,GDP (Current LCU),Latitude,Longitude
China,CHN,1960,0,China 1960,1483.49,35.86166,104.195397
China,CHN,1961,0,China 1961,1089.96,35.86166,104.195397
China,CHN,1962,0,China 1962,1020.73,35.86166,104.195397
China,CHN,1963,0,China 1963,1098.53,35.86166,104.195397
China,CHN,1964,1,China 1964,1268.46,35.86166,104.195397
China,CHN,1965,5,China 1965,1448.56,35.86166,104.195397
China,CHN,1966,20,China 1966,1558.77,35.86166,104.195397
China,CHN,1967,25,China 1967,1431.55,35.86166,104.195397
China,CHN,1968,35,China 1968,1337.48,35.86166,104.195397
China,CHN,1969,50,China 1969,1521.77,35.86166,104.195397
China,CHN,1970,75,China 1970,1766.02,35.86166,104.195397
China,CHN,1971,100,China 1971,1839.48,35.86166,104.195397
China,CHN,1972,130,China 1972,1863.21,35.86166,104.195397
China,CHN,1973,150,China 1973,1962.47,35.86166,104.195397
China,CHN,1974,170,China 1974,1966.74,35.86166,104.195397
China,CHN,1975,180,China 1975,2100.81,35.86166,104.195397
China,CHN,1976,180,China 1976,2036.07,35.86166,104.195397
China,CHN,1977,180,China 1977,2160.56,35.86166,104.195397
China,CHN,1978,190,China 1978,2373.3,35.86166,104.195397
China,CHN,1979,195,China 1979,2519.83,35.86166,104.195397
China,CHN,1980,205,China 1980,2682.69,35.86166,104.195397
China,CHN,1981,210,China 1981,2785.54,35.86166,104.195397
China,CHN,1982,216,China 1982,2990.05,35.86166,104.195397
China,CHN,1983,218,China 1983,3266.49,35.86166,104.195397
China,CHN,1984,220,China 1984,3711.98,35.86166,104.195397
China,CHN,1985,222,China 1985,4154.04,35.86166,104.195397
China,CHN,1986,224,China 1986,4458.59,35.86166,104.195397
China,CHN,1987,226,China 1987,4900.53,35.86166,104.195397
China,CHN,1988,228,China 1988,5364.02,35.86166,104.195397
China,CHN,1989,230,China 1989,5503.52,35.86166,104.195397
China,CHN,1990,232,China 1990,5635.26,35.86166,104.195397
China,CHN,1991,234,China 1991,6075.54,35.86166,104.195397
China,CHN,1992,234,China 1992,6854.72,35.86166,104.195397
China,CHN,1993,234,China 1993,7716.09,35.86166,104.195397
China,CHN,1994,234,China 1994,8625.16,35.86166,104.195397
China,CHN,1995,234,China 1995,9466.14,35.86166,104.195397
China,CHN,1996,234,China 1996,10297.48,35.86166,104.195397
China,CHN,1997,232,China 1997,11133.48,35.86166,104.195397
China,CHN,1998,232,China 1998,11891.43,35.86166,104.195397
China,CHN,1999,232,China 1999,12692.82,35.86166,104.195397
China,CHN,2000,232,China 2000,13662.55,35.86166,104.195397
China,CHN,2001,235,China 2001,14694.87,35.86166,104.195397
China,CHN,2002,235,China 2002,15929.52,35.86166,104.195397
China,CHN,2003,235,China 2003,17419.31,35.86166,104.195397
China,CHN,2004,235,China 2004,19067.03,35.86166,104.195397
China,CHN,2005,235,China 2005,21115.31,35.86166,104.195397
China,CHN,2006,235,China 2006,23668.54,35.86166,104.195397
China,CHN,2007,235,China 2007,26896.07,35.86166,104.195397
China,CHN,2008,235,China 2008,29341.96,35.86166,104.195397
China,CHN,2009,240,China 2009,31940.79,35.86166,104.195397
China,CHN,2010,240,China 2010,35167.8,35.86166,104.195397
China,CHN,2011,240,China 2011,38342.49,35.86166,104.195397
China,CHN,2012,240,China 2012,41155.05,35.86166,104.195397
China,CHN,2013,250,China 2013,44133.8,35.86166,104.195397
China,CHN,2014,250,China 2014,47171.09,35.86166,104.195397
France,FRA,1960,0,France 1960,10073.26,46.227638,2.213749
France,FRA,1961,0,France 1961,10436.39,46.227638,2.213749
France,FRA,1962,0,France 1962,10995.97,46.227638,2.213749
France,FRA,1963,0,France 1963,11518.46,46.227638,2.213749
France,FRA,1964,4,France 1964,12122.99,46.227638,2.213749
France,FRA,1965,32,France 1965,12562.45,46.227638,2.213749
France,FRA,1966,36,France 1966,13087.64,46.227638,2.213749
France,FRA,1967,36,France 1967,13611.21,46.227638,2.213749
France,FRA,1968,36,France 1968,14111.45,46.227638,2.213749
France,FRA,1969,36,France 1969,15001.45,46.227638,2.213749
France,FRA,1970,36,France 1970,15796.55,46.227638,2.213749
France,FRA,1971,45,France 1971,16505.02,46.227638,2.213749
France,FRA,1972,70,France 1972,17111.81,46.227638,2.213749
France,FRA,1973,116,France 1973,18055.69,46.227638,2.213749
France,FRA,1974,145,France 1974,18697.13,46.227638,2.213749
France,FRA,1975,188,France 1975,18401.21,46.227638,2.213749
France,FRA,1976,212,France 1976,19100.68,46.227638,2.213749
France,FRA,1977,228,France 1977,19672.53,46.227638,2.213749
France,FRA,1978,235,France 1978,20371.37,46.227638,2.213749
France,FRA,1979,235,France 1979,21008.02,46.227638,2.213749
France,FRA,1980,250,France 1980,21245.14,46.227638,2.213749
France,FRA,1981,274,France 1981,21368.14,46.227638,2.213749
France,FRA,1982,274,France 1982,21790.03,46.227638,2.213749
France,FRA,1983,279,France 1983,21940.38,46.227638,2.213749
France,FRA,1984,280,France 1984,22148.4,46.227638,2.213749
France,FRA,1985,360,France 1985,22381.87,46.227638,2.213749
France,FRA,1986,355,France 1986,22775.78,46.227638,2.213749
France,FRA,1987,420,France 1987,23226.16,46.227638,2.213749
France,FRA,1988,410,France 1988,24190.84,46.227638,2.213749
France,FRA,1989,410,France 1989,25105.25,46.227638,2.213749
France,FRA,1990,505,France 1990,25708.21,46.227638,2.213749
France,FRA,1991,540,France 1991,25834.11,46.227638,2.213749
France,FRA,1992,540,France 1992,26117.1,46.227638,2.213749
France,FRA,1993,525,France 1993,25840.7,46.227638,2.213749
France,FRA,1994,510,France 1994,26351.84,46.227638,2.213749
France,FRA,1995,500,France 1995,26809.97,46.227638,2.213749
France,FRA,1996,450,France 1996,27092.69,46.227638,2.213749
France,FRA,1997,450,France 1997,27627.75,46.227638,2.213749
France,FRA,1998,450,France 1998,28513.92,46.227638,2.213749
France,FRA,1999,450,France 1999,29338.17,46.227638,2.213749
France,FRA,2000,470,France 2000,30281.19,46.227638,2.213749
France,FRA,2001,350,France 2001,30657.94,46.227638,2.213749
France,FRA,2002,350,France 2002,30781.4,46.227638,2.213749
France,FRA,2003,350,France 2003,30815.59,46.227638,2.213749
France,FRA,2004,350,France 2004,31455.14,46.227638,2.213749
France,FRA,2005,350,France 2005,31738.16,46.227638,2.213749
France,FRA,2006,350,France 2006,32289.62,46.227638,2.213749
France,FRA,2007,350,France 2007,32868.57,46.227638,2.213749
